instanceID,ts_start,ts_end,duration,status,code,message,comment,contractCategory,iecCategory
LLY_WTG12,28-Jan-2020 12:12:42,28-Jan-2020 14:16:43,02:04:01,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,29-Jan-2020 12:18:57,29-Jan-2020 12:25:41,00:06:44,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,30-Jan-2020 17:52:57,30-Jan-2020 18:18:20,00:25:23,stop,52,Frequency on mains too high,Suspected Grid Trip,Grid - External Unplanned outage,<undefined>
LLY_WTG12,06-Feb-2020 10:42:54,06-Feb-2020 14:17:41,03:34:47,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,06-Feb-2020 11:01:15,06-Feb-2020 11:14:02,00:12:47,stop,21,Manual stop,Drive train analysis,Owner - Inspection,<undefined>
LLY_WTG12,06-Feb-2020 11:31:46,06-Feb-2020 11:32:23,00:00:37,stop,21,Manual stop,Drive train analysis,Owner - Inspection,<undefined>
LLY_WTG12,06-Feb-2020 11:47:58,06-Feb-2020 11:48:15,00:00:17,stop,21,Manual stop,Drive train analysis,Owner - Inspection,<undefined>
LLY_WTG12,06-Feb-2020 11:50:45,06-Feb-2020 11:50:57,00:00:12,stop,92,Emergency switch activated,Drive train analysis,Owner - Inspection,<undefined>
LLY_WTG12,06-Feb-2020 11:52:09,24-Feb-2020 11:41:46,431:49:37,stop,21,Manual stop,Suspected damage to bearings in gearbox as vib analysis test failed following drive train analysis. Oil sample tests and final gearbox inspection report awaited,Major Component - Owner - Gearbox,<undefined>
LLY_WTG12,06-Feb-2020 14:20:03,06-Feb-2020 14:38:30,00:18:27,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,08-Feb-2020 14:57:54,08-Feb-2020 15:07:03,00:09:09,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,09-Feb-2020 07:54:27,09-Feb-2020 08:06:25,00:11:58,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,09-Feb-2020 10:30:38,09-Feb-2020 10:48:11,00:17:33,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,09-Feb-2020 10:56:53,09-Feb-2020 11:15:22,00:18:29,warning,50001,No communication  ,,<undefined>,<undefined>
